subcategories,subtype,name,numberOfReviews,rating,rawRanking,Region,District
"Nature & Parks, Outdoor Activities",Beaches,Lighthouse Beach,1630,4,3.790597439,Thiruvananthapuram District,Kovalam
"Nature & Parks, Outdoor Activities",Beaches,Kovalam Beach,1638,4,3.666697025,Thiruvananthapuram District,Kovalam
"Nature & Parks, Outdoor Activities",Beaches,Kovalam Beach,1551,4,3.77072978,Thiruvananthapuram District,Thiruvananthapuram (Trivandrum)
Water & Amusement Parks,Theme Parks,Magic Planet Theme Park,249,4.5,4.118086815,Thiruvananthapuram District,Thiruvananthapuram (Trivandrum)
Nature & Parks,Waterfalls,Athirappilly Falls,727,4.5,4.044579983,Thrissur District,Athirappilly
"Zoos & Aquariums, Nature & Parks, Outdoor Activities","Zoos, Parks",Kauthuka Park,108,4.5,3.36734128,Thrissur District,Chalakudy
Sights & Landmarks,Sacred & Religious Sites,Brahmapureeswarar Temple,149,4.5,3.632419586,Tiruchirappalli District,Tiruchirappalli
Sights & Landmarks,Historic Sites,Kattabomman Memorial Fort,24,4.5,2.938909531,Tirunelveli District,Tirunelveli
Sights & Landmarks,Sacred & Religious Sites,Avinashi Temple,43,4.5,3.108939409,Tiruppur District,Tiruppur
Sights & Landmarks,Sacred & Religious Sites,Arunachaleshwara Temple,283,4.5,4.139102936,Tiruvannamalai District,Tiruvannamalai
Sights & Landmarks,Sacred & Religious Sites,Sree Siddaganga Math,37,4.5,3.04734087,Tumkur District,Tumkur
Sights & Landmarks,Sacred & Religious Sites,Mandaragiri Jain Temple,31,4.5,3.127905607,Tumkur District,Tumkur
Sights & Landmarks,Sacred & Religious Sites,Sri Chennakeshava Temple,21,4.5,2.971904755,Tumkur District,Tumkur
"Food & Drink, Classes & Workshops",Cooking Classes,Shashi Cooking Classes,872,5,4.415043354,Udaipur District,Udaipur
"Food & Drink, Classes & Workshops, Other",Cooking Classes,Durga Cooking Class,89,5,4.412326336,Udaipur District,Udaipur
Nature & Parks,Nature & Wildlife Areas,Animal Aid Unlimited,79,5,3.475455284,Udaipur District,Udaipur
Shopping,Gift & Specialty Shops,Boutique Namaste India,533,5,4.411922932,Udaipur District,Udaipur
Shopping,Gift & Specialty Shops,S.naaz art emporium,365,5,4.404393673,Udaipur District,Udaipur
Sights & Landmarks,"Points of Interest & Landmarks, Historic Sites",Sajjangarh Monsoon Palace,2185,4,3.424622059,Udaipur District,Udaipur
Spas & Wellness,Spas,Bharti Massage Center,944,5,4.409141541,Udaipur District,Udaipur
"Nature & Parks, Outdoor Activities",Beaches,Kodi Beach,97,4.5,3.3335042,Udupi District,Udupi
Sights & Landmarks,Sacred & Religious Sites,Anegudde Vinayaka Temple,168,4.5,3.94013834,Udupi District,Udupi
Sights & Landmarks,Sacred & Religious Sites,Sri Mookambika Temple,500,4.5,4.178302765,Udupi District,Kollur
"Sights & Landmarks, Nature & Parks","Nature & Wildlife Areas, Lookouts",End Point,173,4.5,3.497858047,Udupi District,Manipal
"Sights & Landmarks, Nature & Parks, Outdoor Activities","Beaches, Historic Sites",St. Mary's Island,691,4,3.755187035,Udupi District,
Sights & Landmarks,Sacred & Religious Sites,Durlabh Darshan Kendra - Mahakal Lok,401,5,4.470021248,Ujjain District,Ujjain
Sights & Landmarks,Sacred & Religious Sites,Harsiddhi Temple,320,4.5,4.159887314,Ujjain District,Ujjain
Nature & Parks,Gardens,Rock Stone Garden,30,4.5,3.080597878,Uttara Kannada District,Karwar
Nature & Parks,Waterfalls,Unchalli Falls,70,4.5,3.272340298,Uttara Kannada District,Sirsi
"Nature & Parks, Outdoor Activities",Beaches,Ravindranath Tagore Beach,174,4,3.435464621,Uttara Kannada District,Karwar
"Nature & Parks, Outdoor Activities",Beaches,Paradise Beach,209,4.5,3.707374573,Uttara Kannada District,Gokarna
"Nature & Parks, Outdoor Activities",Beaches,Karwar Beach,111,4,3.252580643,Uttara Kannada District,Karwar
Sights & Landmarks,Points of Interest & Landmarks,Marikamba Temple,95,4.5,3.445651293,Uttara Kannada District,Sirsi
Sights & Landmarks,Points of Interest & Landmarks,Syntheri Rock,241,4,3.447447062,Uttara Kannada District,Dandeli
Sights & Landmarks,Sacred & Religious Sites,Kethapayya Narayan Temple,210,4.5,3.978610277,Uttara Kannada District,Murdeshwar
Shopping,Shopping Malls,Inorbit Mall Vadodara,278,4.5,3.854747772,Vadodara District,Vadodara
Nature & Parks,Mountains,Wilson Hill,44,4,2.967056513,Valsad District,Valsad
"Nature & Parks, Outdoor Activities",Beaches,Tithal Beach,142,4,3.224205256,Valsad District,Valsad
Shopping,Gift & Specialty Shops,Bala Ji Handicraft,200,5,4.412023067,Varanasi District,Varanasi
Sights & Landmarks,Points of Interest & Landmarks,Manikarnika Ghat,1186,4.5,3.912270069,Varanasi District,Varanasi
Sights & Landmarks,Sacred & Religious Sites,Vallimalai Subramanyar Temple,25,4.5,2.973442078,Vellore District,Vellore
Sights & Landmarks,Sacred & Religious Sites,Virinjipuram Temple,22,4.5,2.960436583,Vellore District,Vellore
Sights & Landmarks,Sacred & Religious Sites,Sri Anantha Padmanabha Swamy devasthanam,43,4,3.030529737,Vikarabad District,Vikarabad
Sights & Landmarks,"Points of Interest & Landmarks, Architectural Buildings",Matrimandir,1240,4,3.836981535,Viluppuram District,Auroville
Sights & Landmarks,Sacred & Religious Sites,Panchavati Panchamukha Anjaneyar Temple,19,4.5,2.945857286,Viluppuram District,Villupuram
Nature & Parks,Valleys,Araku Valley,786,4,3.673071623,Visakhapatnam District,Visakhapatnam
Sights & Landmarks,Points of Interest & Landmarks,Dolphin's Nose,225,4.5,3.703455687,Visakhapatnam District,Visakhapatnam
Spas & Wellness,Spas,Travancore Ayurveda Daspalla Hills,99,5,4.417682171,Visakhapatnam District,Visakhapatnam
Sights & Landmarks,Sacred & Religious Sites,Ramanarayanam Temple,35,4.5,3.066935062,Vizianagaram District,Vizianagaram
Nature & Parks,Waterfalls,Soochippara Falls (Sentinel Rock Waterfall),736,4,3.645585537,Wayanad District,Kalpetta
Nature & Parks,Mountains,Banasura Hill,401,4,3.78550458,Wayanad District,Kalpetta
Nature & Parks,Islands,Kuruvadweep,566,3.5,3.20983696,Wayanad District,Kalpetta
Nature & Parks,Nature & Wildlife Areas,Wayanad Wildlife Sanctuary,607,3.5,2.923502922,Wayanad District,Kalpetta
Nature & Parks,Waterfalls,Meenmutty Falls,271,4,3.347839355,Wayanad District,Kalpetta
Sights & Landmarks,Sacred & Religious Sites,Thirunelli Temple,479,4.5,3.937630415,Wayanad District,Kalpetta
Sights & Landmarks,Observation Decks & Towers,Lakkidi View Point,768,4,3.629386187,Wayanad District,Kalpetta
Nature & Parks,Bodies of Water,Dawki River,478,4.5,3.935377359,West Jaintia Hills District,Dawki
Nature & Parks,Waterfalls,Krang Suri Falls,111,5,3.676361322,West Jaintia Hills District,Jowai
"Nature & Parks, Outdoor Activities",Beaches,Tajpur Beach,97,4,3.22262454,West Midnapore District,Midnapore
"Nature & Parks, Outdoor Activities",Beaches,Digha Beach,335,4,3.313354015,West Midnapore District,Midnapore
Nature & Parks,"Caverns & Caves, Geologic Formations",Unakoti Rock Carvings,104,4.5,3.530061007,West Tripura District,Agartala
Nature & Parks,Deserts,Thar Desert,57,4.5,3.231272221,,
Nature & Parks,National Parks,Valley of Flowers National Park,298,4.5,4.147799492,,
Nature & Parks,Valleys,Parvati Valley,56,4.5,3.152019978,,
Nature & Parks,Nature & Wildlife Areas,Amboli,98,4.5,3.502857685,,
Nature & Parks,Waterfalls,Byrdaw Falls,3,5,2.787779808,,
Nature & Parks,"Bodies of Water, Nature & Wildlife Areas",Ashtamudi Lake,91,4.5,3.587207556,,
"Nature & Parks, Outdoor Activities",Beaches,Ashwen Beach,55,4.5,3.110033751,,
"Nature & Parks, Outdoor Activities",Beaches,Agatti Island,95,4.5,3.252138376,,
"Nature & Parks, Outdoor Activities",Beaches,Okha-Madhi Beach,19,5,3.025197506,,
Sights & Landmarks,Architectural Buildings,Rockfort Temple,75,4.5,3.268876791,,
Sights & Landmarks,Ancient Ruins,Aihole,145,4.5,3.660688162,,
Sights & Landmarks,Historic Sites,Morni Hills,73,4,3.179748297,,
Sights & Landmarks,Sacred & Religious Sites,Murdeshwar Temple,256,4.5,4.123108864,,
Sights & Landmarks,"Points of Interest & Landmarks, Historic Sites",Ruins of Gaur,9,4.5,2.852606297,,
Sights & Landmarks,"Ancient Ruins, Historic Sites",Rajgir,67,4.5,3.297949553,,
Sights & Landmarks,Historic Sites,Ancestral Goa,85,3.5,2.93668294,,
Sights & Landmarks,Sacred & Religious Sites,Adhyantha Amritha Sai Temple,2,5,2.795606375,,
"Sights & Landmarks, Outdoor Activities",Scenic Drives,Khardung La,685,4.5,4.226278782,,
Spas & Wellness,Spas,Red Orchid Spa Chandigarh,109,5,4.407272339,,
Tours,Scenic Railroads,Toy Train,147,4,3.309807301,,
